[2024-12-20 14:15:46.516] [info]  Websocket listening on 36703...
[2024-12-20 14:15:46.519] [info]  Setting up up server listeners with auth (402602)...
[2024-12-20 14:15:46.520] [info]              Server up and running
[2024-12-20 14:15:47.763] [info]              Listening to 1 MessagePort(s) for renderer 5 (https://www.notion.so/quick-search)
[2024-12-20 14:15:59.689] [info]              Listening to 1 MessagePort(s) for renderer 1 (https://www.notion.so/)
[2024-12-20 14:16:01.468] [info]              Listening to 1 MessagePort(s) for renderer 7 (https://www.notion.so/blank)
[2024-12-25 23:21:44.136] [info]  Websocket listening on 46635...
[2024-12-25 23:21:44.139] [info]  Setting up up server listeners with auth (ba043c)...
[2024-12-25 23:21:44.140] [info]              Server up and running
[2024-12-25 23:21:44.684] [info]              Listening to 1 MessagePort(s) for renderer 1 (https://www.notion.so/?pvs=3)
[2024-12-25 23:21:45.140] [info]              Listening to 1 MessagePort(s) for renderer 5 (https://www.notion.so/quick-search)
[2024-12-25 23:21:54.634] [info]              Listening to 1 MessagePort(s) for renderer 7 (https://www.notion.so/blank)
[2024-12-25 23:21:58.242] [info]              Listening to 1 MessagePort(s) for renderer 1 (https://www.notion.so/oauth2callback?state=eyJjYWxsYmFja1R5cGUiOiJuYXRpdmVyZWRpcmVjdCIsImVuY3J5cHRlZFRva2VuIjoidjAyOmxvZ2luX3dpdGhfZ29vZ2xlOl92N1NQZUFsWmxGTmg0bTN6M0w2UXRHZDNBTlg0Nzc3ZkJGelJkTVZHdjIxZTJVaGlXWXZzb05Ea2g0dEVwUUdNdGRuNl9sNElGZ1ItUDN1ajQ5RjY4N3F3MFBJVzdKeWdaVlBydEV3emgtRnlGT083ZzR0dFc4enoyUmlSVEdtOHlrRCJ9&code=4%2F0AanRRrsvRZ6Jz0fwn4DbzfMpJzdYWc9O7RywrUE6VqaB85c1C4JJZnzUVIBKVZa5s963PQ&scope=email%20profile%20openid%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none&di=)
[2024-12-25 23:22:00.427] [info]              Listening to 1 MessagePort(s) for renderer 5 (https://www.notion.so/quick-search)
[2024-12-25 23:22:32.522] [info]              Listening to 1 MessagePort(s) for renderer 5 (https://www.notion.so/quick-search)
[2024-12-25 23:22:32.898] [info]              Listening to 1 MessagePort(s) for renderer 1 (https://www.notion.so/Task-Manger-10e56480d76480bf9c76cff8e6adcfa2)
